run;section;date;dist;minutes;seconds
45;1;19-5-2018;1,27;6;50
45;2;19-5-2018;2,43;14;1
45;3;19-5-2018;2,43;14;48
45;4;19-5-2018;1,27;7;38
44;1;13-5-2018;1,28;7;30
44;2;13-5-2018;2,44;14;0
44;3;13-5-2018;1,28;6;52
43;1;10-5-2018;1,28;7;12
43;2;10-5-2018;2,44;15;9
43;3;10-5-2018;1,28;7;33
42;1;1-4-2018;1,28;7;37
42;2;1-4-2018;2,44;14;11
42;3;1-4-2018;1,28;6;57
41;1;19-11-2017;9,05;54;49
40;1;5-11-2017;1,28;7;41
40;2;5-11-2017;2,44;13;52
40;3;5-11-2017;1,28;7;24
39;1;28-10-2017;1,28;7;34
39;2;28-10-2017;2,44;14;26
39;3;28-10-2017;1,28;7;22
38;1;13-10-2017;1,28;7;19
38;2;13-10-2017;2,44;14;11
38;3;13-10-2017;1,28;7;29
37;1;8-10-2017;1,28;7;22
37;2;8-10-2017;2,44;14;9
37;3;8-10-2017;1,28;7;32
36;1;1-10-2017;1,27;7;13
36;2;1-10-2017;2,43;13;50
36;3;1-10-2017;2,43;14;28
36;4;1-10-2017;1,27;7;35
35;1;10-9-2017;1,27;7;16
35;2;10-9-2017;2,43;13;33
35;3;10-9-2017;2,43;14;51
35;4;10-9-2017;1,27;7;50
34;1;8-9-2017;1,28;7;29
34;2;8-9-2017;2,44;14;13
34;3;8-9-2017;1,28;7;18
33;1;3-9-2017;1,28;7;52
33;2;3-9-2017;2,44;15;8
33;3;3-9-2017;1,28;8;16
32;1;20-8-2017;1,28;7;33
32;2;20-8-2017;2,44;13;59
32;3;20-8-2017;1,28;7;8
31;1;30-7-2017;1,28;7;24
31;2;30-7-2017;2,44;13;42
31;3;30-7-2017;1,28;7;3
30;1;9-7-2017;1,28;7;21
30;2;9-7-2017;2,44;14;56
30;3;9-7-2017;1,28;8;16
29;1;4-6-2017;9,05;52;32
28;1;28-5-2017;1,28;7;30
28;2;28-5-2017;2,44;13;32
28;3;28-5-2017;1,28;7;0
27;1;25-5-2017;1,28;6;55
27;2;25-5-2017;2,44;13;37
27;3;25-5-2017;1,28;6;56
26;1;16-5-2017;9,35;53;45
25;1;13-5-2017;9,05;50;21
24;1;7-5-2017;9;51;53
23;1;30-4-2017;1,28;6;58
23;2;30-4-2017;2,44;12;51
23;3;30-4-2017;1,28;6;50
22;1;15-4-2017;1,28;5;59
22;2;15-4-2017;2,44;12;24
22;3;15-4-2017;1,28;6;24
21;1;9-4-2017;2;12;53
21;2;9-4-2017;1;6;7
21;3;9-4-2017;2;11;36
21;4;9-4-2017;1;6;23
21;5;9-4-2017;1;5;58
21;6;9-4-2017;1;5;47
21;7;9-4-2017;1;5;49
21;8;9-4-2017;1;5;39
21;9;9-4-2017;0,55;2;16
20;1;1-4-2017;1,33;6;31
20;2;1-4-2017;2,39;12;20
20;3;1-4-2017;1,28;6;16
19;1;31-3-2017;1,27;7;2
19;2;31-3-2017;2,7;13;42
19;3;31-3-2017;1,81;10;0
19;4;31-3-2017;1,84;9;51
19;5;31-3-2017;1,43;7;26
18;1;29-3-2017;1,33;7;3
18;2;29-3-2017;2,39;13;0
18;3;29-3-2017;1,28;6;30
17;1;26-3-2017;1,28;6;57
17;2;26-3-2017;2,44;13;53
17;3;26-3-2017;1,28;6;59
16;1;22-3-2017;1,28;6;27
16;2;22-3-2017;2,44;12;45
16;3;22-3-2017;1,28;6;36
15;1;18-3-2017;1,27;7;28
15;2;18-3-2017;2,43;13;7
15;3;18-3-2017;2,43;13;34
15;4;18-3-2017;1,27;6;45
14;1;11-3-2017;1,27;7;3
14;2;11-3-2017;2,43;13;21
14;3;11-3-2017;2,43;14;12
14;4;11-3-2017;1,27;7;23
13;1;4-3-2017;3,2;17;44
13;2;4-3-2017;2,25;12;32
13;3;4-3-2017;1,35;8;9
12;1;28-3-2016;3,34;19;23
12;2;28-3-2016;1,84;10;37
12;3;28-3-2016;1,72;10;26
11;1;6-3-2016;3,34;19;7
11;2;6-3-2016;1,84;10;39
11;3;6-3-2016;1,72;9;58
10;1;31-1-2016;3,34;19;19
10;2;31-1-2016;1,84;10;46
10;3;31-1-2016;1,72;10;14
9;1;5-5-2015;3,34;18;59
9;2;5-5-2015;1,84;10;48
9;3;5-5-2015;1,72;10;54
8;1;30-11-2014;3,34;19;37
8;2;30-11-2014;1,84;11;37
8;3;30-11-2014;1,72;10;10
7;1;2-11-2014;3,34;19;7
7;2;2-11-2014;1,84;10;54
7;3;2-11-2014;1,72;9;55
6;1;29-10-2014;3,34;18;4
6;2;29-10-2014;1,84;10;16
6;3;29-10-2014;1,72;9;39
5;1;22-10-2014;3,34;17;50
5;2;22-10-2014;1,96;10;24
5;3;22-10-2014;1,6;8;48
4;1;27-8-2014;3,34;19;10
4;2;27-8-2014;4,44;27;20
4;3;27-8-2014;1,27;7;48
3;1;23-8-2014;3,34;19;48
3;2;23-8-2014;4,44;27;54
3;3;23-8-2014;1,27;7;39
2;1;13-8-2014;3,34;19;44
2;2;13-8-2014;1,84;10;56
2;3;13-8-2014;1,72;10;16
1;1;10-8-2014;3,34;19;4
1;2;10-8-2014;1,84;10;55
1;3;10-8-2014;1,72;10;26
