"Tussen gemeenten verhuisde personen"
"Perioden";"2014";"2014";"2014";"2014";"2014";"2014";"2014";"2014";"2014";"2014";"2014";"2014";"2014"
"Onderwerpen";"Tussen gemeenten verhuisde personen";"Tussen gemeenten verhuisde personen";"Tussen gemeenten verhuisde personen";"Tussen gemeenten verhuisde personen";"Tussen gemeenten verhuisde personen";"Tussen gemeenten verhuisde personen";"Tussen gemeenten verhuisde personen";"Tussen gemeenten verhuisde personen";"Tussen gemeenten verhuisde personen";"Tussen gemeenten verhuisde personen";"Tussen gemeenten verhuisde personen";"Tussen gemeenten verhuisde personen";"Tussen gemeenten verhuisde personen"
"Regio van vestiging";"Nederland";"Groningen (PV)";"Friesland (PV)";"Drenthe (PV)";"Overijssel (PV)";"Flevoland (PV)";"Gelderland (PV)";"Utrecht (PV)";"Noord-Holland (PV)";"Zuid-Holland (PV)";"Zeeland (PV)";"Noord-Brabant (PV)";"Limburg (PV)"
"Regio van vertrek";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal"
"Nederland";"654467";"29746";"24226";"16860";"34928";"12105";"81570";"59619";"116594";"137652";"11936";"90600";"38631"
"Groningen (PV)";"31657";"14208";"2705";"4699";"1967";"408";"1271";"1247";"2138";"1799";"83";"779";"353"
"Friesland (PV)";"25665";"3206";"14107";"1196";"1108";"528";"935";"836";"2010";"1039";"71";"446";"183"
"Drenthe (PV)";"17511";"4859";"1125";"5907";"1763";"234";"936";"563";"819";"802";"59";"340";"104"
"Overijssel (PV)";"36829";"1952";"1076";"1707";"17247";"811";"6034";"2156";"2330";"1966";"141";"1035";"374"
"Flevoland (PV)";"15474";"530";"613";"268";"1059";"2165";"1541";"1393";"4571";"2184";"106";"835";"209"
"Gelderland (PV)";"79609";"1271";"814";"618";"5556";"1154";"44350";"7420";"4821";"5088";"457";"5958";"2102"
"Utrecht (PV)";"57154";"732";"652";"471";"1440";"949";"7176";"26429";"8689";"6471";"393";"2969";"783"
"Noord-Holland (PV)";"112695";"1188";"1660";"744";"1912";"4204";"4491";"8092";"73053";"11502";"619";"3859";"1371"
"Zuid-Holland (PV)";"134142";"1106";"926";"796";"1479";"1012";"5289";"6374";"11224";"95678";"1741";"7011";"1506"
"Zeeland (PV)";"12569";"45";"58";"44";"140";"63";"479";"421";"576";"2072";"6283";"2171";"217"
"Noord-Brabant (PV)";"89547";"452";"362";"303";"861";"424";"6498";"3568";"4558";"7059";"1768";"59065";"4629"
"Limburg (PV)";"41615";"197";"128";"107";"396";"153";"2570";"1120";"1805";"1992";"215";"6132";"26800"
"© Centraal Bureau voor de Statistiek, Den Haag/Heerlen 28-10-2015"
